Product_ID,Product_Category,Brand_Name,Product_Name,Product_Details,Origin,Ingredients
103001,SHAMPOO,REJOICE,REJOICE VOLUME FRESH SHAMPOO,"China Origin. Rejoice Innovative Hair make-up removal!
1. Inspired by French  Micellar Water Hair Make-up technology  mild to the skin
2. Micellar micron particle easily get into the scalp pore  the clean the grease hidden in the deep pore
3. Natural white tea and water lily essence. Purify and Moisturizing  deliver volume up smoothness.
4.Free of Paraben preservatives  Mineral oils  Paraffins",China,WATER SODIUM LAURETHSULFATE COCAMIDOPROPYL BETAINE
103002,SHAMPOO,REJOICE,REJOICE OIL REMOVAL,"China Origin. Rejoice Innovative Hair make-up removal!
1. Inspired by French  Micellar Water Hair Make-up technology  mild to the skin
2. Micellar micron particle easily get into the scalp pore  the clean the grease hidden in the deep pore
3. Natural white tea and lemon grass essence. Purify and remove oil  deliver volume up smoothness.
4.Free of Paraben preservatives  Mineral oils  Paraffins",China,WATER SODIUM LAURETHSULFATE COCAMIDOPROPYL BETAINE
103003,SHAMPOO,REJOICE,REJOICE OLIVE OIL SHAMPOO,China Origin. Olive Oil Shampoo,China,WATER SODIUM LAURETHSULFATE COCAMIDOPROPYL BETAINE
103004,SHAMPOO,REJOICE,REJOICE MINT REFRESHING SHAMPOO,China Origin. Mint Refreshing Shampoo,China,WATER SODIUM LAURETHSULFATE COCAMIDOPROPYL BETAINE
103005,SHAMPOO,REJOICE,REJOICE LEMON BALANCED SHAMPOO,China Origin. Lemon Balanced Conditioning Shampoo,China,WATER SODIUM LAURETHSULFATE COCAMIDOPROPYL BETAINE
103006,SHAMPOO,REJOICE,REJOICE 3IN1 CARE SHAMPOO,China Origin. 3-in-1 Care Shampoo,China,WATER SODIUM LAURETHSULFATE COCAMIDOPROPYL BETAINE
105001,SHAMPOO,ESSENTIAL,ESSENTIAL NOURISHING BREAKAGE DEFENSE SHAMPOO,"Taiwan Origin. Upgraded 360 cuticle restructure essence could form a thin  uniform protective layer along every hair strand  reduce the fiction between hair  and thus protect cuticle from external damage.

Suitable for severely damaged hair which always undergo coloring & perming  intensively repair damaged cuticle  anti- hair breakage & split end with ultra smooth & shiny hair",Taiwan,None of information
105002,SHAMPOO,ESSENTIAL,ESSENTIAL MOISTURIZING FRIZZ FREE SHAMPOO,"Taiwan Origin. Upgraded 360 cuticle restructure essence could form a thin  uniform protective layer along every hair strand  reduce the fiction between hair  and thus protect cuticle from external damage.

Suitable for dry and frizzy hair which always treated with dryer & curler  refill hair moisture from cuticle loss  hair is moisturized &shiny without fizziness",Taiwan,None of information
105003,SHAMPOO,ESSENTIAL,Essential Purify Deep Cleansing Care Shampoo,"Taiwan Origin. Watery 0% silicone  protect hair moisture
4times water lock & natural repair

Long-lasting oil control formula
Intensively deep cleansing the excessive oil. Retain scalp and hair oil & water balance  long time control oil. Hair root is fresh and without stickiness  hair end not dry. Hair can keep moisture and smooth always.

Means not adding silicone  applies to shampoo products only.",Taiwan,None of information
105004,SHAMPOO,ESSENTIAL,Essential Purify Weightlessly Smooth Care Shampoo,"Taiwan Origin. Watery 0% silicone  protect hair moisture
4times water lock & natural repair

Quick Dry Airy formula
Effective to reduce tangled hair and also add airy feeling to hair. No flat hair top  while hair tip does not tangle. Hair become distinctly seperated  when hair dryer lightly blow  air pass through hair  make hair easy to dry  save 20%# of the hair blowing time  and protect hair from heat and friction.

Means not adding silicone  applies to shampoo products only",Taiwan,None of information
105005,SHAMPOO,ESSENTIAL,Essential Purify Anti Dandruff Shampoo,"Taiwan Origin. Watery 0% silicone  protect hair moisture
4times water lock & natural repair

Highly effective lock moisture anti-dandruff formulation
Contains Piroctone Olamine which is an active anti-dandruff ingredient that effectively remove dandruff  prevent itchy. After use  scalp can keep refresh and moisturized  no more dandruff problem.

Means not adding silicone  applies to shampoo products only",Taiwan,None of information
