Product_ID,Product_Category,Product_Type,Brand_Name,Product_Name,Product_Details,Benefits
1010001,EYES,MASCARA,MAX FACTOR,MASTERPIECE 2 IN 1 LASH WOW MASCARA,"For lashes that look longer with maximised volume, there's Max Factor Masterpiece 2 In 1 Lash Wow Mascara. With a simple twist to transform, the unique twistable brush is easy to use and lets you choose your preferred look for maximum results. Separate and lengthen or lift and volumise - the choice is yours! The vegan formula contains good-for-you ingredients to help care for your lashes. Flake-free, this mascara goes on easily without clumps and will accompany you from dusk till dawn with no smudging. The long-lasting, smooth formula of this volumising and lengthening mascara is easy to apply for mess-free application that reaches from root to tip and even the inner corners. Ophthalmologically tested, this Max Factor mascara is suitable for those with sensitive eyes and contact lens wearers. ","2-in-1 lengthening and volumising mascara
The twist-to-transform brush is easy to use and lets you master your desired lash look!
The vegan formula contains good-for-you ingredients to help care for the health of your lashes
This mascara is both flake-proof and ensures no clumps when applied, for gorgeous wear that lasts all day
The smooth formula is easy to apply for mess-free application that reaches from root to tip
A ophthalmologically tested mascara for sensitive eyes and contact wearers"
1010002,EYES,MASCARA,MAX FACTOR,FALSE LASH EFFECT LASH & BROW SERUM,"Get strong and healthy lashes for a dramatic, extra long look with Max Factor False Lash Effect Serum. This ultra-conditioning concentrate is infused with a nutrient-rich complex of vitamins, proteins & peptides. It stimulates natural eyelash & eyebrow growth and protects against breakage & fall out, with clinically tested visible results in 4 weeks. The Dermatologist and Opthalmologist tested vegan formula is suitable for even the most sensitive eyes. Inspired by salons, mastered by Max Factor.
","The lash and brow conditioning serum is ideal for those who want stronger, fuller and healthier looking eyelashes
It's clinically proven to strengthen lashes, reduce lash fall out and breakage over time, with visible results in just 4 weeks
This lash boosting vegan complex is infused with natural bamboo extract, biotin, peptides & castor oil to condition and stimulate growth
Includes an easy-to-use precision tip applicator brush that coats lashes and brows with conditioning serum from root to tip"
1010003,EYES,MASCARA,MAX FACTOR,FALSE LASH EPIC MASCARA,"Give your lashes a boost with the ultimate eyelash enhancer, False Lash Epic Mascara. Create a full, fanned-out effect by sweeping the unique brush from root to tip, capturing every single lash to magnify and intensify.
","Unique brush to capture every lash
Volume-boosting mascara
Silky black formula"
1010004,EYES,MASCARA,MAX FACTOR,LASH REVIVAL EYELASH PRIMER,"If your lashes need a boost, maximise length and volume in one sweep with Lash Revival Volume Boosting Primer. The super-nourishing formula contains lash-loving oils - including argan, jojoba and coconut - for smoother, glossier, healthier lashes with every use. The perfect way to prep lashes before applying your favourite mascara; simply glide this smooth, plumping eyelash primer from root to tip. Next-level lashes are just a sweep away...
  
•	Volume-boosting, eyelash-prepping primer
•	Conditions bare lashes with nourishing coconut, jojoba and argan oils
•	Sweep onto lashes before applying Lash Revival Mascara for a thicker, fuller finish","It boosts lash volume & length and is infused with vitamin E and oils.
It amplifies lash volume & length while leaving lashes feeling nourished
It helps to condition and prime lashes to maximize results
It smoothes lashes and has a formula that feels lightweight and creamy
Suitable for use with any mascara
Ophtalmologically tested and suitable for sensitive eyes."
1010005,EYES,MASCARA,MAX FACTOR,VOLUME INFUSION MASCARA,"Are your lashes in need of some TLC? Treat them to Volume Infusion Mascara; the best mascara for volume that contains super-conditioning keratin and biotin to smooth and plump every single lash. Glide our nourishing mascara through lashes for care and volume in one.
","Nourishing formula
Biotin and keratin-enriched
Smooth, volumised finish"
1010006,EYES,MASCARA,MAX FACTOR,FALSE LASH EFFECT XXL MASCARA,"Max Factor False Lash Effect XXL Mascara gives you an instant salon lash extension effect without the damage. The Full Stretch formula contains responsibly sourced good-for-you ingredients, including arginine, panthenol and vitamin E. Use with the specially-designed hourglass brush with petal-shaped bristle brush, and your natural lashes appear more extended, both in volume and length. The 100% vegan pigment is smudge-proof, yet easy to remove. Suitable for sensitive eyes. Ophthalmologist tested.
","It’s a volume-building mascara that gives a false lash effect without the salon
The smudge-proof, cake-proof, clump-proof formula is fragrance-free
Vegan pigments are easy to remove
Its full of responsibly sourced, good-for-you ingredients
Lash grabbing brush with petal shaped bristles catches every lash"
1020001,LIPS,LIPSTICK,MAX FACTOR,VELVET MATTES LIPSTICK,"The ultimate finishing touch to your makeup: a matte lipstick. Velvet Mattes Lipstick is a full-colour, kiss-proof lipstick formula that keeps lips moisturised while delivering a soft, satin-matte finish. Glide your shade onto lips to finish any makeup look with the perfect pout. Flawless.
","7 wearable shades
Soft, satin matte finish
Moisturising formula"
1020002,LIPS,LIPSTICK,MAX FACTOR,COLOUR ELIXIR LIPSTICK,"Feel the lipstick fever! If you're a fan of the original cult-classic Colour Elixir Lipstick, you'll love the new and improved formula. Kiss hello to the perfect pout with our iconic lipstick formula, now in 29 craveable, kissable shades. Plus, our go-to lip colour has had a makeover, with brand new gold packaging to add a touch of luxe to your makeup bag. 
 
Veil lips in bold colour and a lip-loving, nourishing formula, containing a blend of emollients, antioxidants and vitamin E to care and condition. The result? Lips feel smooth and moisturised for up to 24 hours. Sweep onto lips for a hit of highly pigmented colour in a long-wear finish. Add to your lipstick wardrobe with classic reds, silky nudes, chic mauves and bold pinks, or discover your new signature shade. 
 
•	Cult-classic lipstick in 29 craveable, kissable shades
•	Nourishing, conditioning lip colour featuring emollients and antioxidants
•	Long-wear formula that lasts up to 24 hours","16 intense shades
Super-conditioning ingredients: vitamin E, shea, avocado and aloe butters
Smoother, fuller-looking lips"
1020003,LIPS,LIPSTICK,MAX FACTOR,PRIYANKA COLOUR ELIXIR LIPSTICK,"Max Factor and Priyanka Chopra Jonas celebrate the unique beauty of every individual with an empowering new limited collection in high-impact, universal colours, designed to match all skin tones. 

For rich coloured, fuller-looking lips that feel and look renewed, there's Max Factor Colour Elixir Lipstick in 9 vibrant colours. The diverse offer includes cinnamon, maroon, bronze and plum hues as well as classic nude lipsticks that are all equally suited to dark, medium and light complexions. It's packed with skin-loving and hydrating ingredients. A lipstick that keeps your pout nourished, smoother and looking beautiful for up to 24 hours thanks to its skin-friendly formula that is infused with avocado and coconut oils, shea butter and aloe leaf extract. Comfortable to wear, it feels lightweight, while the soft-touch precision applicator is designed with a sloped angle that glides across lips with ease. From a subtle tint to intense colour, the buildable formula lets you create your perfect look. Reveal your extraordinary.","This diverse collection has a range from nude and plum purple lipsticks to cinnamon brown lipsticks are all equally suited to dark, medium and light complexions
The long-lasting vibrant colour and hydration lasts up to 24 hours for lips that look smoother and fuller
Intensely hydrating lipstick made with skin-loving ingredients including avocado and coconut oils, shea butter & aloe leaf extract
The buildable formula feels lightweight and comfortable to wear, gliding onto lips smoothly with a soft, velvety texture
Part of the Limited Edition - Priyanka Universal Colour Collection"
1020004,LIPS,LIPSTICK,MAX FACTOR,LIPFINITY LIQUID LIPSTICK,"Kiss hello to a smooth, vibrant lip look with Lipfinity Liquid Lip Colour. The velvety, liquid, matte formula is part lip stain, part long-lasting lipstick with a lustrous top coat to finish. Sweep onto lips for up to 24 hours of flawless wear.
","28 shades
Matte lip colour with a lustrous top coat
Smooth, easy-to-apply formula
Lasts up to 24 hours"
1030001,LIPS,LIP LINER,MAX FACTOR,COLOUR ELIXIR LIP LINER,"Take your lip look to the next level. Reshape, add definition or plump up the volume with Colour Elixir Lip Liner. Create the perfect pout by gliding this conditioning lip liner smoothly onto lips. Etch around the lip line before applying lipstick for precise application, or up the staying power by blending onto lips for a long-wear base. 
 
An easy-to-apply lip liner that blends like a dream, Colour Elixir Lip Liner is a must-have for your lipstick routine. It comes in a range of highly pigmented hues, from bold and punchy to fresh and natural.
 
•	Lip-smoothing, conditioning lip liner
•	Reshapes, defines and plumps lips
•	Comes in a range of classic and on-trend shades, from classic red to sultry nude","With conditioning colour for soft supple lips
Shades match our range of Colour Elixir Lipsticks.
Easy to apply pencil"
1040001,LIPS,LIP GLOSS,MAX FACTOR,HONEY LACQUER,"Our Colour Elixir Honey Lacquer is a true triple threat: as pigmented as a lipstick, as hydrating as a lip balm and with the high shine of a gloss, this essential piece condenses 3 products into 1, making it perfect to pop into your clutch bag for a night out.

This multitasking product gives you the instant confidence of a lipstick and the irresistibility of the shine a gloss offers, whilst keeping your lips moisturised and kissable. What’s more, in 8 different shades from Honey Nude to Floral Ruby to Regale Burgan, you can rock understated nude lips or a ravishing red pout.

Has a smooth surface so glides on easily
Densely pigmented colour, giving you the fullness of a lipstick
High shine finish for an irresistibly glossy pout.","Smooth as a lip balm
Shine of a lip gloss
Colour of a lipstick"
